Brand,Series,Consumption,EnergyClass,Colour,Weight,Diagonal,IsSmart,Resolution,Depth,Doors,HasFreezer,Height,Volume,Width,Type,Price
Xiaomi,series 6,99,A,brown,19,214,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,659
Sony,series 6,95,A+,red,21,60,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,292
Sony,series 6,85,B,yellow,20,214,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,703
Xiaomi,series 5,80,A+,green,20,108,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,618
LG,series 3,92,D,yellow,21,80,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,577
Panasonic,series 1,99,D,yellow,19,123,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,184
Panasonic,series 3,97,A+,brown,19,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,289
HORIZON,series 6,90,A+,red,20,214,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,648
LG,series 3,85,A+++,silver,22,214,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,701
Panasonic,series 2,97,D,silver,23,214,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,245
Philips,series 1,91,B,brown,19,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,274
Samsung,series 4,97,A++,silver,22,123,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,671
Xiaomi,series 1,97,A+++,red,22,108,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,216
HORIZON,series 5,99,A+++,yellow,21,214,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,612
Sony,series 3,85,A,brown,21,125,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,327
Panasonic,series 2,97,C,brown,23,123,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,210
LG,series 5,80,D,gray,19,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,419
